food_name,serving_size,calories,carbs,protein,fat
닭가슴살(100g),100g,165,0.0,31.0,3.6
고구마(100g),100g,86,20.0,1.6,0.1
귀리(100g),100g,389,66.0,17.0,7.0
계란(1개),50g,72,0.4,6.3,4.8
연어(100g),100g,208,0.0,20.0,13.0
브로콜리(100g),100g,34,7.0,2.8,0.4
두부(100g),100g,76,1.9,8.0,4.2
현미밥(1공기),210g,300,65.0,6.0,2.0
잡곡밥(1공기),210g,290,62.0,7.0,2.2
현미(100g),100g,367,77.0,7.5,3.0
사과(1개),200g,104,28.0,0.5,0.3
바나나(1개),120g,105,27.0,1.3,0.3
토마토(1개),150g,30,7.0,1.3,0.3
시금치(100g),100g,23,3.6,2.9,0.4
양배추(100g),100g,25,6.0,1.3,0.1
상추(100g),100g,15,2.9,1.3,0.2
오이(100g),100g,16,3.6,0.7,0.1
당근(100g),100g,41,10.0,1.0,0.2
감자(100g),100g,77,17.0,2.0,0.1
양파(100g),100g,40,9.0,1.1,0.1
버섯(100g),100g,22,3.3,3.1,0.3
김치(100g),100g,30,4.0,2.5,1.0
된장국(1그릇),200g,95,9.0,7.0,3.0
미역국(1그릇),200g,80,8.0,6.0,2.5
콩나물국(1그릇),200g,60,6.0,5.0,1.5
불고기(100g),100g,195,8.0,18.0,10.0
삼겹살(100g),100g,330,0.0,16.0,28.0
갈비탕(1그릇),300g,280,6.0,24.0,16.0
비빔밥(1그릇),500g,560,84.0,20.0,12.0
김밥(1줄),200g,320,55.0,10.0,7.0
라면(1봉지),120g,500,80.0,10.0,16.0
된장찌개(1그릇),200g,150,8.0,10.0,6.0
순두부찌개(1그릇),200g,180,9.0,12.0,8.0
떡볶이(1인분),300g,350,70.0,8.0,4.0
치킨(1조각),150g,290,9.0,20.0,18.0
피자(1조각),120g,280,33.0,12.0,12.0
햄버거(1개),250g,500,40.0,25.0,26.0
삼계탕(1그릇),500g,650,20.0,45.0,35.0
잡채(1인분),200g,250,40.0,10.0,6.0
김치찌개(1그릇),200g,200,10.0,12.0,10.0
감자탕(1그릇),400g,550,15.0,35.0,35.0
칼국수(1그릇),400g,500,90.0,15.0,6.0
쌀밥(1공기),210g,310,68.0,6.0,1.0
잡곡밥(반공기),105g,145,31.0,3.5,1.1
우유(1컵),200ml,120,12.0,8.0,4.5
두유(1컵),200ml,95,10.0,7.0,3.0
요구르트(1컵),150g,100,19.0,4.0,1.0
아몬드(30g),30g,174,6.0,6.0,15.0
호두(30g),30g,200,4.0,5.0,20.0
